"marketId","town","region","marketName","afmaMember","venueName","venueAddress","region","marketType","upcoming","distanceKm","schedule","contact","website","photoLink","longitude","latitude"
"105","Calgary","","Calgary Bearspaw","false","Bearspaw Lions Hall and Grounds","25240 Nagway Rd","","","true","","Sunday; 10:00 AM - 4:00 PM;  Jun 7, 2015 - Oct 4, 2015 (indoor and outdoor); ","Email: farmersmarket@bearspawlions.com","http://www.bearspawlions.com","","-114.27765","51.15662"
"1424","Calgary","","Calgary Bridgeland Riverside","false","Bridgeland Riverside Community Assoc. Hall","917 Centre Ave NE","","","true","","Thursday; 3:30 PM - 7:00 PM;  Jun 18, 2015 - Oct 8, 2015 (outdoor); ","Phone: 403-263-5755","http://www.brcacalgary.org/bridgeland-riverside-farmers-market/","","-114.04072","51.05204"
"127","Calgary","","Calgary Farmers' Market","false","","510 77th Avenue SE","","","true","","Friday; 9:00 AM - 5:00 PM;  Jan 2, 2015 - Dec 18, 2015 (indoor); ","Email: info@calgaryfarmersmarket.ca","http://www.calgaryfarmersmarket.ca","CFMsm.jpg","-114.05180","50.98453"
"128","Calgary","","Calgary Grassroots Northland","false","Northland Village Mall","5111 Northland Drive NW (parking lot)","","","true","","Tuesday; 3:30 PM - 7:00 PM;  Jun 2, 2015 - Sep 29, 2015 (outdoor); ","Phone: 403-282-9299","http://www.northlandmarket.ca","","-114.14160","51.09861"
"660","Calgary","","Calgary Hillhurst Sunnyside","false","Hillhurst-Sunnyside Community Centre","1320 5 Ave NW","","","true","","Wednesday; 3:00 PM - 7:00 PM;  Jan 7, 2015 - May 6, 2015; Bi-Monthly (indoor); 1st & 3rd Wednesday of each month","Phone: 403-283-0554 ext 247","http://farmersmarket.hillhurstsunnyside.org/ ","","-114.09263","51.05710"
"1486","Calgary","","Calgary Marda Loop","false","Marda Loop Community Assoc Hall","3130 16 St SW","","","false","","Saturday; 9:00 AM - 1:00 PM;  May 30, 2015 - Oct 10, 2015 (outdoor); ","Phone: 403-244-5411","","","-114.09961","51.02673"
"21","Camrose","","Camrose","false","Duggan Mall","6601 - 48 Avenue","","","false","","Saturday; 9:00 AM - 2:00 PM;  Jan 3, 2015 - Dec 19, 2015 (indoor); ","Phone: 780-781-5501","http://www.camrosefarmersmarket.com","","-112.85564","53.01792"
"22","Camrose","","Camrose Rose City","false","Duggan Mall","6601 - 48 Avenue","","","true","","Thursday; 2:00 PM - 7:00 PM;  Jan 8, 2015 - Dec 17, 2015 (indoor); ","Phone: 780-678-0349","https://www.facebook.com/permalink.php?story_fbid=683376951694570&id=657151684317097","","-112.86664","53.02892"
"1484","Canmore","","Canmore Mountain Market","false","Outside Civic Centre","907 7th Ave","","","true","","Thursday; 10:00 AM - 6:00 PM;  Jun 11, 2015 - Oct 15, 2015 (outdoor); ","Phone: 403-678-1295","http://www.canmoremarket.com","","-115.36088","51.08999"
"161","Caroline","","Caroline","false","Caroline Museum","1/2 km East of the Village of Caroline on Highway 54 at the Caroline Municipal RV Park","","","true","","Friday; 12:00 PM - 3:00 PM;  May 8, 2015 - Sep 11, 2015 (indoor and outdoor); ","Phone: 403-722-7367","","","-114.73928","52.09364"
"945","Carstairs","","Carstairs","false","Carstairs Curling Rink","317 Veterans Street","","","true","","Tuesday; 4:30 PM - 7:30 PM;  Jun 2, 2015 - Sep 29, 2015 (indoor and outdoor); ","Phone: 403-607-3878","http://www.carstairsfarmersmarket.weebly.com","","-114.09910","51.56190"
"181","Castor","","Castor","false","Castor Community Hall","4801 48 Ave","","","false","","Thursday; 10:00 AM - 2:00 PM;  Mar 5, 2015 - Dec 3, 2015; Monthly (indoor); ","Phone: 403-882-2755","https://www.facebook.com/pages/Castor-Farmers-Market/72543493941?ref=br_tf","","-111.91016","52.21835"
"201","Claresholm","","Claresholm","false","Claresholm Arena","1A St East and 50 Ave","","","true","","Wednesday; 3:00 PM - 6:00 PM;  Jul 8, 2015 - Sep 16, 2015 (indoor); ","Phone: 403-625-3392","","","-113.58437","50.02673"
"1364","Rocky Mountain House","","Clearwater","false","","5101 49 Ave","","","true","","Thursday; 5:00 PM - 8:00 PM;  May 14, 2015 - Jun 25, 2015 (outdoor); ","Phone: 403-846-6342","https://www.facebook.com/groups/689180071113678/?ref=br_tf","","-114.91924","52.37752"
"1205","Coaldale","","Coaldale","false","Coaldale Curling Rink","2007 13 St","","","false","","Wednesday; 3:30 PM - 6:30 PM;  Jul 9, 2014 - Sep 24, 2014 (indoor); ","Email: coaldalefarmersmarket@gmail.com","http://www.facebook.com/coaldalefarmersmarket","","-112.61177","49.72758"
"202","Cochrane","","Cochrane","false","Cochrane Ranche Historic Site","East of intersection of Hwys 1A and 22","","","false","","Saturday; 9:30 AM - 1:30 PM;  Jun 6, 2015 - Sep 26, 2015 (outdoor); ","Phone: 403-851-0562","http://www.cochranefarmersmarket.ca","","-114.48509","51.19841"
"221","Cold Lake","","Cold Lake","false","Exhibition Park Agriplex","4608 - 38 Ave","","","true","","Thursday; 4:00 PM - 6:30 PM;  Jun 11, 2015 - Sep 24, 2015 (indoor); ","Phone: 780-826-2192","http://www.coldlakeag.com/","","-110.18944","54.40500"
"1384","Consort","","Consort ","false","Consort Sportex","4602 50 Ave","","","true","","Tuesday; 4:00 PM - 7:00 PM;  Jul 7, 2015 - Sep 29, 2015 (indoor); ","Phone: 403-575-9533","https://www.facebook.com/groups/247003181992529/?ref=br_tf","","-110.76834","52.00853"
"222","Crossfield","","Crossfield","false","Pete Knight Memorial Arena","920 Mountain Ave","","","true","","Thursday; 5:30 PM - 8:00 PM;  Jun 4, 2015 - Sep 17, 2015 (indoor); ","Phone: 403-804-6114","https://www.facebook.com/pages/Crossfield-Farmers-Market/642461145801456?ref=br_tf","","-114.02575","51.43263"
"235","Darwell","","Darwell","false","Darwell Centennial Hall","Intersection of  Hwy 633 and 765 (Range Rd 50)","","","true","","Sunday; 11:00 AM - 2:00 PM;  May 3, 2015 - Sep 27, 2015 (indoor); ","Phone: 587-785-1175","https://www.facebook.com/DarwellFarmersMarket","","-114.58960","53.66354"
"1485","DeBolt","","DeBolt","false","DeBolt Centre","207 Alberta Ave","","","true","","Wednesday; 3:00 PM - 8:00 PM;  Jun 17, 2015 - Sep 30, 2015 (indoor); ","Phone: 780-957-3958","","","-118.02084","55.21964"
"760","Delburne","","Delburne","false","Delburne Community Hall","2034 21 Ave","","","true","","Wednesday; 4:00 PM - 6:30 PM;  Jun 3, 2015 - Sep 30, 2015 (indoor); ","Phone: 403-505-2558","","","-113.23258","52.19900"
"229","Devon","","Devon Lions","false","Devon Community Centre","20 Haven Ave","","","true","","Thursday; 2:00 PM - 5:00 PM;  Jun 4, 2015 - Oct 8, 2015 (indoor and outdoor); ","Phone: 780-987-3594","http://www.town.devon.ab.ca","","-113.73012","53.36215"
"395","Didsbury","","Didsbury","false","Didsbury Memorial Complex","1702 21 Ave, west end of the curling rink","","","true","","Wednesday; 5:00 PM - 7:00 PM;  Jul 8, 2015 - Sep 23, 2015 (indoor); ","Phone: 403-335-3707","http://www.didsburyagsociety.org","","-114.13433","51.66036"
"256","Drumheller","","Drumheller","false","Greentree Mall","555 Hwy 10 E","","","false","","Saturday; 9:30 AM - 12:30 PM;  Jun 6, 2015 - Oct 3, 2015 (indoor); July and August markets held at Centre St, between 3rd Ave & Railway Ave","Phone: 403-823-5828","https://www.facebook.com/pages/Alberta-Approved-Drumheller-Farmers-Market/358563711013565","","-112.70252","51.45714"
"259","Edmonton","","Edmonton Beverly Towne","false","","South of 118 Ave at 40 St","","","true","","Tuesday; 4:00 PM - 8:00 PM;  May 12, 2015 - Sep 29, 2015 (outdoor); ","Phone: 780-413-6244","http://www.beverlyfarmersmarket.ca ","","-113.40341","53.56988"
"260","Edmonton","","Edmonton Callingwood","false","","69 Ave & 178 St","","","true","","Sunday; 10:00 AM - 3:00 PM;  May 3, 2015 - Oct 11, 2015 (outdoor); ","Phone: 780-487-8649","http://www.callingwoodmarketplace.com/farmers-market","","-113.62861","53.50222"
"261","Edmonton","","Edmonton Capilano","false","Capilano Mall","5004 98 Ave","","","false","","Saturday; 9:30 AM - 4:00 PM;  Jan 3, 2015 - Dec 19, 2015 (indoor and outdoor); ","Phone: 780-962-8163","","","-113.42250","53.53861"
"884","Edmonton","","Edmonton Castledowns","false","Castledowns Recreation Centre","11520 153 Ave","","","true","","Wednesday; 4:00 PM - 8:00 PM;  Jan 7, 2015 - Dec 16, 2015 (indoor and outdoor); Market will be held indoor at Recreation Centre from October to April, otherwise outdoors","Phone: 780-459-6082","http://cdfm.pxn.ca","","-113.52045","53.61442"
"264","Edmonton","","Edmonton Downtown Farmers' Market","false","Downtown Edmonton","104 St between Jasper Ave & 103 Ave","","","false","","Saturday; 9:00 AM - 3:00 PM;  Jan 3, 2015 - May 9, 2015 (indoor); Held inside City Hall - 1 Sir Winston Churchill Square","Phone: 780-429-5713","http://www.city-market.ca","","-113.49916","53.54277"
"1584","Edmonton","","Edmonton French Quarter","false","La Cite Francophone","8627 91 St","","","true","","Sunday; 12:00 PM - 4:00 PM;  Jan 4, 2015 - Dec 20, 2015 (indoor and outdoor); ","Phone: 780-463-1144","http://www.lacitefranco.ca/french-quarter-farmers-market.php","","-113.46698","53.52250"
"1164","Edmonton","","Edmonton Highlands","false","St Mary's Anglican Church","112 Ave & 68 St (parking lot)","","","true","","Thursday; 4:00 PM - 8:00 PM;  Jan 8, 2015 - May 14, 2015 (indoor); ","Phone: 780-4740535","http://www.highlands112avenue.com/farmersmarket.html","","-113.43766","53.56493"
"266","Edmonton","","Edmonton Millwoods","false","Millwoods Recreation Centre parking lot","7208 28 Ave","","","true","","Thursday; 5:00 PM - 8:00 PM;  Jun 4, 2015 - Oct 1, 2015 (outdoor); ","Phone: 780-461-0619","http://www.millwoodsfarmersmarket.com","","-113.44601","53.45846"
"267","Edmonton","","Edmonton Old Strathcona","false","Old Bus Barn","10310 83 Ave","","","false","","Saturday; 8:00 AM - 3:00 PM;  Jan 3, 2015 - Dec 19, 2015 (indoor); ","Phone: 780-439-1844","http://www.osfm.ca/","","-113.49577","53.51916"
"1404","Edmonton","","Edmonton Seniors Centre","false","General Hospital","3Y - 11111 Jasper Ave","","","true","","Wednesday; 10:00 AM - 2:00 PM;  Feb 11, 2015 - Dec 23, 2015 (indoor); ","Phone: 780-962-8163","","","-113.51386","53.54096"
"1224","Edmonton","","Edmonton University of Alberta","false","Students' Union Building","8900 114 St","","","false","","Thursday; 10:00 AM - 2:00 PM;  Jan 15, 2015 - Apr 9, 2015; Monthly (indoor); ","Phone: 780-492-7134","http://www.su.ualberta.ca/services/sustainsu/farmersmarket/","","-113.52559","53.52451"
"269","Edmonton","","Edmonton Westmount","false","St Andrews Centre","12720 111 Ave","","","true","","Thursday; 10:00 AM - 4:00 PM;  Jan 8, 2015 - Dec 17, 2015 (indoor); ","Phone: 780-456-0384","http://www.westmountmarket.ca","","-113.54203","53.55896"
"270","Edson","","Edson","false","Friendship Centre","5023 - 3 Ave","","","true","","Friday; 10:30 AM - 2:00 PM;  Apr 17, 2015 - Dec 18, 2015 (indoor); ","Phone: 780-723-3480","https://www.facebook.com/#!/groups/14054759451/?fref=ts/","","-116.43151","53.58236"
"271","Enilda","","Enilda","false","WI Hall","2 First Avenue","","","false","","Saturday; 10:00 AM - 2:00 PM;  Feb 7, 2015 - Dec 5, 2015; Monthly (indoor); ","Phone: 780-523-2209","","","-116.33874","55.42613"
"283","Evansburg","","Evansburg","false","Main Street, across from Post Office","5013 50 St","","","false","","Saturday; 10:00 AM - 2:00 PM;  May 9, 2015 - Sep 26, 2015 (outdoor); ","Phone: 780-727-3526","","","-115.02320","53.60045"
"236","Drayton Valley","","Evergreen","false","Omniplex","5737 - 45 Avenue","","","true","","Wednesday; 10:30 AM - 1:30 PM;  Mar 11, 2015 - Dec 16, 2015 (indoor); ","Phone: 780-514-6897","http://www.dvevergreenfarmersmarket.ca","","-114.98810","53.21603"
"1344","Fairview","","Fairview","false","Royal Canadian Legion","110 St & 104 Ave","","","false","","Saturday; 9:00 AM - 12:00 PM;  Mar 1, 2014 - Dec 20, 2014 (indoor); ","Phone: 780-835-4633","","","-118.38455","56.06857"
"301","Fort Assiniboine","","Fort Assiniboine","false","Arena Complex - Curling Rink","","","","true","","Friday; 2:00 PM - 6:00 PM;  May 8, 2015 - Sep 11, 2015 (indoor); ","Phone: 780-674-4058","","","-114.77426","54.33585"
"1264","Fort McMurray","","Fort McMurray Urban Market","false","Jubilee Plaza","9909 Franklin Ave ","","","false","","Wednesday; 12:00 PM - 7:00 PM;  Jun 17, 2015 - Sep 23, 2015; Every 2nd Week (outdoor); ","Phone: 780-215-2669","","","-111.38045","56.72720"
"363","Fort Saskatchewan","","Fort Saskatchewan","false","CN Train Station","10030 99 Ave","","","true","","Thursday; 4:30 PM - 7:30 PM;  Jun 11, 2015 - Sep 24, 2015 (outdoor); ","Phone: 780-998-4355","http://www.fortsaskchamber.com","","-113.21766","53.70800"
"364","Gibbons","","Gibbons","false","Curling Rink","5004 51 Ave","","","true","","Wednesday; 5:30 PM - 7:30 PM;  Jun 17, 2015 - Sep 16, 2015 (indoor); ","Phone: 780-923-3126","","","-113.32898","53.82547"
"904","Glendon","","Glendon","false","Curling Rink","1st Ave N","","","false","","Saturday; 10:00 AM - 12:30 PM;  May 9, 2015 - Jun 20, 2015; Every 2nd Week (indoor); ","Phone: 780-635-2460","","","-111.15162","54.25072"
"905","Barrhead","","Glenreagh","false","Glenreagh Community Hall","2 miles N and 1 miles W of Barrhead","","","true","","Wednesday; 11:00 AM - 2:00 PM;  Apr 1, 2015 - Sep 30, 2015 (indoor); ","Phone: 780-954-2385","","","-114.44688","54.15194"
"1225","Grande Cache","","Grande Cache","false","","1300 Pine Plaza Street","","","false","","Saturday; 11:00 AM - 3:00 PM;  Mar 14, 2015 - Mar 14, 2015; Monthly (indoor and outdoor); ","Phone: 780-827-5617","http://www.grandecachefarmersmarket.ca/","","-119.11403","53.88868"
"365","Grande Prairie","","Grande Prairie","false","Big Red Barn","10032 101 Ave (corner of 101 St and 101 Ave)","","","true","","Friday; 4:00 PM - 8:00 PM;  Jan 2, 2015 - Dec 18, 2015 (indoor); ","Phone: 780-814-8224","","","-118.79941","55.17154"
"366","Hanna","","Hanna","false","Round Up Centre","400 Pioneer Trail","","","true","","Wednesday; 10:00 AM - 2:00 PM;  May 13, 2015 - Sep 30, 2015 (indoor and outdoor); ","Phone: 403-854-4563","https://www.facebook.com/groups/1406623816241904/?ref=br_tf","","-111.93224","51.64419"
"1446","High Level","","High Level","false","High Level Arena Curling Rink","10101 105th Street","","","false","","Friday; 2:00 PM - 7:00 PM;  Jul 4, 2015 - Sep 25, 2015 (indoor); ","Phone: 780-247-1625","","","-117.14621","58.51760"
"1084","High Prairie","","High Prairie Marigold ","false","","4932 51 Ave","","","true","","Wednesday; 2:00 PM - 7:00 PM;  Feb 25, 2015 - Mar 25, 2015; Every 2nd Week; ","Phone: 780-523-4588","","","-116.49473","55.43106"
"367","Hinton","","Hinton","false","Hinton Community Centre","965 Switzer Dr","","","true","","Thursday; 11:00 AM - 2:00 PM;  Mar 26, 2015 - Dec 17, 2015 (indoor); ","Phone: 780-865-4362","","","-117.57387","53.40409"
"368","Innisfail","","Innisfail","false","Innisfail Arena","5604 42 Street","","","true","","Thursday; 10:00 AM - 1:00 PM;  May 7, 2015 - Sep 17, 2015 (indoor); ","Phone: 403-896-5451","","","-113.96949","52.02034"
"1004","Jasper","","Jasper ","false","McCready Centre","701 Turret St","","","true","","Wednesday; 12:00 PM - 3:00 PM;  Jun 24, 2015 - Sep 23, 2015 (indoor and outdoor); ","Phone: 780-883-0522","https://www.facebook.com/JLFSfarmersmarket","","-118.08595","52.87452"
"1044","Kinuso","","Kinuso","false","Kinuso Ag Hall","201 Swan Avenue","","","false","","Saturday; 10:00 AM - 2:00 PM;  May 16, 2015 - Sep 5, 2015; Every 2nd Week (indoor); ","Phone: 780-775-3928","","","-115.43237","55.32979"
"369","Lac La Biche","","Lac La Biche","false","Agricom","13412 Hwy 881","","","true","","Friday; 3:00 PM - 5:30 PM;  Mar 27, 2015 - Dec 11, 2015 (indoor); ","Phone: 780-623-8002","","","-111.93834","54.76256"
"370","Lacombe","","Lacombe","false","Lacombe Arena parking lot","5429 53 St","","","true","","Friday; 9:00 AM - 1:00 PM;  May 15, 2015 - Oct 9, 2015 (outdoor); ","Phone: 403-782-4772","","","-113.73543","52.46849"
"374","Lakedell","","Lakedell","false","Lakedell Ag Society Parking Lot","1 mile west & 1/2 mile South of Village of Pigeon Lake ","","","true","","Friday; 4:00 PM - 7:00 PM;  May 15, 2015 - Sep 11, 2015 (indoor and outdoor); ","Phone: 780-621-0763","http://www.lakedell.org/special-events/farmers-market/","","-114.05006","52.95990"
"372","Leduc","","Leduc","false","","50th Ave, between 49 & 47 St","","","true","","Thursday; 10:00 AM - 1:30 PM;  May 21, 2015 - Oct 1, 2015 (outdoor); ","Phone: 780-887-1974","","","-113.55240","53.26476"
"1184","Legal","","Legal","false","Citadel Centre (Gazebo)","51 Ave & 47 St","","","false","","Thursday; 3:00 PM - 7:00 PM;  Jun 5, 2014 - Aug 28, 2014 (indoor and outdoor); ","Phone: 780-934-2379","http://www.legalchamberofcommerce.ca","","-113.59228","53.95027"
"376","Lethbridge","","Lethbridge ","false","Lethbridge Exhibition Park North/West Pavilions","3401 Parkside Dr S","","","true","","Saturday; 8:00 AM - 2:00 PM;  May 9, 2015 - Oct 24, 2015 (indoor); ","Phone: 403-317-3206","http://www.exhibitionpark.ca","","-112.78824","49.68735"
"377","Long Lake Provincial Park (near Boyle)","","Long Lake Provincial Park","false","Day Use Area open shelter","","","","false","","Saturday; 11:00 AM - 2:00 PM;  May 16, 2015 - Jun 27, 2015; Every 2nd Week (outdoor); ","Phone: 780-576-2401","","","-112.80346","54.42153"
"1405","Magrath","","Magrath","false","Garth Veale Memorial Arena","5 North Centre Street","","","true","","Tuesday; 4:30 PM - 7:30 PM;  Jun 16, 2015 - Sep 29, 2015 (indoor); ","Phone: 403-758-3946","","","-112.86538","49.42056"
"282","Manning","","Manning","false","Royal Canadian Legion","121 2 Ave SW","","","true","","Friday; 10:00 AM - 1:00 PM;  May 8, 2015 - Oct 9, 2015 (indoor); ","Phone: 780-836-0650","","","-117.63395","56.92313"
"378","Medicine Hat","","Medicine Hat","false","Cypress Centre","2055 21 Ave SE","","","false","","Saturday; 9:00 AM - 1:00 PM;  May 16, 2015 - Oct 3, 2015 (indoor); ","Phone: 403-527-1234","http://www.mhstampede.com","","-110.65398","50.02040"
"379","Millarville","","Millarville","false","Race Track","Hwy 549 E and 192 St W, 306097 192 St W","","","false","","Saturday; 9:00 AM - 2:00 PM;  Jun 13, 2015 - Oct 10, 2015 (outdoor); ","Phone: 403-931-2404","http://www.millarvilleracetrack.com","","-114.28481","50.77693"
"800","Millet","","Millet","false","Millet Agriplex","5290 45 Ave","","","true","","Wednesday; 3:30 PM - 6:00 PM;  Jul 8, 2015 - Sep 30, 2015 (indoor); ","Phone: 780-387-4442","","","-113.48277","53.09066"
"380","Morinville","","Morinville","false","Ray McDonald Sport Arena Parking Lot (outdoor), Arena lobby (indoor)","9908 104 St","","","true","","Friday; 4:00 PM - 7:00 PM;  Jan 2, 2015 - May 29, 2015 (indoor); held in arena lobby","Phone: 780-934-2379","http://morinvillefarmersmarket.com/","","-113.64725","53.80195"
"1564","Mulhurst Bay","","Mulhurst Bay ","false","Mulhurst Bay Legion Hall","5702 39 St","","","true","","Thursday; 4:00 PM - 7:00 PM;  Jun 18, 2015 - Sep 17, 2015 (outdoor); ","Phone: 780-246-5164","","","-113.98645","53.05066"
"381","Nanton","","Nanton United Church","false","United Church Parking Lot","2121 21 Ave","","","false","","Saturday; 9:00 AM - 1:00 PM;  Jun 20, 2015 - Oct 3, 2015 (outdoor); ","Phone: 403-646-5776","","","-113.77251","50.34702"
"906","New Norway","","New Norway","false","Community Hall","210 Main St","","","true","","Tuesday; 3:00 PM - 7:00 PM;  Jan 6, 2015 - Dec 15, 2015; Every 2nd Week (indoor); 1st and 3rd Tuesday every month","Phone: 780-855-2129","http://www.facebook.com/groups/287510384627085/?ref=br_tf","","-112.95124","52.86869"
"382","Okotoks","","Okotoks","false","North side of Okotoks","2 miles N of Okotoks on Hwy 2A (westside facing Highway)","","","true","","Friday; 3:30 PM - 6:30 PM;  Jun 19, 2015 - Sep 25, 2015 (outdoor); ","Phone: 403-630-4182","","","-113.97559","50.70265"
"383","Olds","","Olds","false","Cow Palace","5116 54 St","","","true","","Thursday; 4:00 PM - 6:30 PM;  May 28, 2015 - Oct 8, 2015 (indoor and outdoor); ","Phone: 403-556-3770","http://www.oldsregionalexhibition.com/","","-114.11066","51.78814"
"1406","Onoway","","Onoway","false","Onoway Arena","5004 53 Ave","","","true","","Friday; 4:00 PM - 9:00 PM;  May 1, 2015 - Sep 4, 2015 (indoor); ","Phone: 780-965-6977","","","-114.19301","53.70695"
"385","Oyen","","Oyen","false","Oyen Memorial Arena","105 5 Ave East","","","true","","Friday; 11:00 AM - 2:00 PM;  Jun 12, 2015 - Sep 18, 2015 (indoor); ","Phone: 403-664-3819","","","-110.48363","51.35015"
"422","Peace River","","Peace River ","false","Senior Centre","10301 101 St","","","false","","Saturday; 10:00 AM - 1:00 PM;  Feb 28, 2015 - Dec 19, 2015; Every 2nd Week (indoor); ","Phone: 780-618-3640","http://peaceriverfarmersmarket.com/","","-117.29038","56.23318"
"720","Pincher Creek","","Pincher Creek ","false","Arena Lobby","867 Main Street","","","true","","Friday; 11:00 AM - 2:00 PM;  Jun 19, 2015 - Oct 2, 2015 (indoor and outdoor); ","Phone: 403-627-4158","","","-113.94220","49.48563"
"386","Ponoka","","Ponoka","false","Curling Rink ","4310 54 St","","","true","","Wednesday; 9:00 AM - 1:00 PM;  May 6, 2015 - Sep 30, 2015 (indoor); ","Phone: 403-783-6776","","","-113.58183","52.67714"
"387","Provost","","Provost","false","Provost Agri-plex","5211 43 St","","","true","","Friday; 10:00 AM - 2:00 PM;  Jun 5, 2015 - Oct 2, 2015 (indoor); ","Phone: 780-753-0950","","","-110.25549","52.35457"
"1144","Red Deer","","Red Deer Downtown","false","Little Gaetz Avenue","4900 Block - 50th Avenue","","","true","","Wednesday; 4:00 PM - 7:00 PM;  Jun 3, 2015 - Oct 7, 2015 (outdoor); ","Phone: 403-340-8696","http://www.downtownmarket.ca","","-113.81160","52.26811"
"388","Redwater","","Redwater","false","Pembina Place","4944 53 St","","","true","","Tuesday; 4:00 PM - 7:00 PM;  Jun 2, 2015 - Sep 1, 2015 (indoor); ","Phone: 780-940-6076","http://www.redwaterag.com","","-113.11595","53.95253"
"389","Rimbey","","Rimbey ""Market at the Park""","false","Pask-a-Poo-Park","5620 51 St, Hwy 20 North","","","false","","Saturday; 9:30 AM - 11:30 AM;  May 9, 2015 - Oct 10, 2015 (outdoor); ","Phone: 403-704-4001","https://www.facebook.com/RimbeyFarmersMarket","","-114.24168","52.63925"
"390","Rocky Mountain House","","Rocky Mountain House Town & Country","false","Rocky Mountain House Museum - Basement","5406 48 St","","","false","","Saturday; 10:00 AM - 1:00 PM;  Jan 17, 2015 - Dec 19, 2015 (indoor); ","Phone: 403-845-3629","","","-114.91588","52.37925"
